order_no,order_date,ship_date,ship_delay_days,customer_name,address,city,state,customer_type,account_manager,order_priority,product_name,product_category,product_container,ship_mode,order_quantity,cost_price,retail_price,discount_pct,shipping_cost,sub_total,discount_amount,order_total,total,cogs,gross_profit,profit_after_shipping,sub_total_raw,discount_amount_raw,order_total_raw,total_raw,order_year,order_month,order_quarter,q_ship_before_order,q_discount_pct_bad,q_sub_total_mismatch,q_discount_amount_mismatch,q_order_total_mismatch,q_total_mismatch,q_profit_margin_mismatch
5015-1,2014-04-01,2014-04-02,1,Anne Pryor,"1-2/299 Sussex St,Sydney",Sydney,NSW,Corporate,Aanya Zhang,Medium,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Express Air,3,156.5,300.97,10.0,7.18,902.9100000000001,90.29100000000001,812.619,819.799,469.5,343.119,335.939,1602.02,144.41,1513.83,1533.62,2014,4,2,False,False,True,True,True,True,False
5016-1,2013-02-11,2013-02-12,1,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Low,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Regular Air,18,2.39,4.26,6.0,1.2,76.67999999999999,4.6008,72.07919999999999,73.27919999999999,43.02,29.059199999999983,27.859199999999984,123.54,3.71,119.83,121.03,2013,2,1,False,False,True,True,True,True,False
5018-1,2013-12-29,2013-12-22,-7,Lena Creighton,"127 Liverpool St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Low,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Express Air,1,54.29,90.48,2.0,19.99,90.48,1.8096,88.6704,108.6604,54.29,34.3804,14.390400000000003,1029.5,30.82,1762.54,1740.57,2013,12,4,True,False,True,True,True,True,False
5019-1,2013-11-18,2013-11-20,2,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Artisan 487 Labels,Office Supplies,Wrap Bag,Regular Air,34,2.29,3.69,2.0,0.5,125.46,2.5092,122.95079999999999,123.45079999999999,77.86,45.09079999999999,44.59079999999999,205.6,6.16,193.54,199.4,2013,11,4,False,False,True,True,True,True,False
5019-1,2013-02-13,2013-02-15,2,Susan Vittorini,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando CCalored Accent Highlighters,Office Supplies,Small Box,Regular Air,33,3.75,7.08,8.0,2.35,233.64000000000001,18.691200000000002,214.9488,217.2988,123.75,91.1988,88.84880000000001,725.82,58.07,667.75,694.05,2013,2,1,False,False,True,True,True,True,False
5019-1,2013-02-13,2013-02-15,2,Susan Vittorini,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando S750 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,27,75.0,120.97,8.0,26.3,3266.19,261.2952,3004.8948,3031.1948,2025.0,979.8948,953.5948000000001,725.82,58.07,657.75,694.05,2013,2,1,False,False,True,True,True,True,False
5020-1,2015-05-11,2015-05-13,2,Bill Stewart,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Small Box,Express Air,49,0.9,2.1,5.0,0.7,102.9,5.1450000000000005,97.75500000000001,98.45500000000001,44.1,53.65500000000001,52.955000000000005,35.7,1.07,34.63,35.33,2015,5,2,False,False,True,True,True,True,False
5021-1,2015-05-18,2015-05-25,7,Brian DeCherney,"523 King St,Newtown",Sydney,NSW,Corporate,Aanya Zhang,High,TechSavi Access Keyboard,Technology,Medium Box,Regular Air,24,10.07,15.98,1.0,4.0,383.52,3.8352,379.6848,383.6848,241.68,138.0048,134.0048,139.2,5.35,132.97,139.46,2015,5,2,False,False,True,True,True,True,False
5021-1,2014-06-23,2014-06-23,0,Frank Hawley,"797 Botany Rd,Rosebery",Sydney,NSW,Small Business,Phoebe Gour,Medium,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,22,1.59,2.61,7.0,0.5,57.419999999999995,4.0194,53.4006,53.9006,34.980000000000004,18.420599999999993,17.920599999999993,23.6,1.51,23.63,23.46,2014,6,2,False,False,True,True,True,True,False
5021-1,2013-10-20,2013-10-20,0,Cindy Stewart,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Home Office,Leighton Forrest,Critical,Smiths Pushpins,Office Supplies,Small Pack,Regular Air,24,0.94,1.88,6.0,0.79,45.12,2.7072,42.4128,43.202799999999996,22.56,19.8528,19.0628,25.8,0.16,23.63,26.46,2013,10,4,False,False,True,True,True,True,False
5022-1,2013-02-22,2013-02-23,1,Rick Han,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Regular Air,49,156.5,300.97,7.0,7.18,14747.53,1032.3271000000002,13715.2029,13722.3829,7668.5,6046.7029,6039.5229,723.84,50.67,673.17,693.16,2013,2,1,False,False,True,True,True,True,False
5023-1,2013-02-17,2013-02-22,5,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Small Business,Yvette Biti,Low,12 Colored Short Pencils,Furniture,Small Pack,Regular Air,8,1.09,2.6,0.0,2.4,20.8,0.0,20.8,23.2,8.72,12.08,9.68,122.2,12.22,109.98,112.38,2013,2,1,False,False,True,True,True,True,False
5023-1,2013-02-17,2013-02-22,5,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,Medium,12 Colored Short Pencils,Furniture,Large Box,Regular Air,21,1.09,2.6,5.0,2.4,54.6,2.7300000000000004,51.870000000000005,54.27,22.89,28.980000000000004,26.580000000000005,122.2,12.22,109.98,112.38,2013,2,1,False,False,True,True,True,True,False
5023-1,2013-02-17,2013-02-22,5,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,High,12 Colored Short Pencils,Technology,Small Box,Regular Air,37,1.09,2.6,10.0,2.4,96.2,9.620000000000001,86.58,88.98,40.330000000000005,46.24999999999999,43.849999999999994,122.2,12.22,109.98,112.38,2013,2,1,False,False,True,True,True,True,False
5023-1,2013-02-17,2013-02-22,5,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,High,1726 Digital Answering Machine,Office Supplies,Small Box,Express Air,24,8.82,20.99,7.0,4.81,503.76,35.263200000000005,468.4968,473.3068,211.68,256.8168,252.0068,122.2,12.22,109.98,112.38,2013,2,1,False,False,True,True,True,True,False
5023-1,2014-06-04,2014-06-05,1,Frank Merwin,"24 Addison Rd,Marrickville",Sydney,NSW,Corporate,Radhya Staples,Critical,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,29,8.82,20.99,7.0,4.81,608.7099999999999,42.6097,566.1003,570.9102999999999,255.78,310.3203,305.5103,122.2,12.22,109.98,112.38,2014,6,2,False,False,True,True,True,True,False
5024-1,2015-05-22,2015-05-24,2,Thomas Boland,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Corporate,Mihael Khan,Medium,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Express Air,14,4.53,7.3,2.0,7.72,102.2,2.044,100.156,107.876,63.42,36.736000000000004,29.016000000000005,285.14,2.95,265.55,274.97,2015,5,2,False,False,True,True,True,True,False
5024-1,2014-10-13,2014-10-15,2,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Low,3Max Organizer Strips,Office Supplies,Small Box,Regular Air,42,3.4,5.4,1.0,7.78,226.8,2.2680000000000002,224.532,232.312,142.79999999999998,81.73200000000003,73.95200000000003,146.6,14.58,134.01,143.72,2014,10,4,False,False,True,True,True,True,False
5024-1,2013-02-18,2013-02-20,2,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Corporate,Phoebe Gour,Medium,Multimedia Mailers,Office Supplies,Small Box,Regular Air,48,99.39,162.93,2.0,19.99,7820.64,156.4128,7664.2272,7684.2172,4770.72,2893.5072,2873.5172000000002,5213.76,469.24,4744.52,4764.51,2013,2,1,False,False,True,True,True,True,False
5024-1,2013-12-09,2013-12-09,0,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,High,Multimedia Mailers,Technology,Small Box,Express Air,40,99.39,162.93,3.0,19.99,6517.200000000001,195.51600000000002,6321.684000000001,6341.674000000001,3975.6,2346.084000000001,2326.0940000000014,4099.5,419.0,4795.52,4592.51,2013,12,4,False,False,True,True,True,True,False
5024-1,2014-09-02,2014-09-04,2,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Consumer,Tina Carlton,Low,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Express Air,41,4.79,11.97,5.0,5.81,490.77000000000004,24.538500000000003,466.23150000000004,472.04150000000004,196.39000000000001,269.8415,264.0315,242.08,14.24,230.51,233.95,2014,9,3,False,False,True,True,True,True,False
5024-1,2014-02-25,2014-02-26,1,Bebby Elias,"506 Swan Street,Richmond",Melbourne,VIC,Consumer,Connor Betts,High,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Small Box,Regular Air,22,21.56,36.55,10.0,13.89,804.0999999999999,80.41,723.6899999999999,737.5799999999999,474.32,249.36999999999995,235.47999999999996,85.28,6.82,78.46,79.44,2014,2,1,False,False,True,True,True,True,False
5024-1,2013-02-18,2013-02-20,2,Sean Wendt,"155 Ramsay St,Haberfield",Sydney,NSW,Corporate,Phoebe Gour,Critical,Multimedia Mailers,Office Supplies,Small Box,Express Air,47,99.39,162.93,9.0,19.99,7657.71,689.1939,6968.5161,6988.5061,4671.33,2297.1861,2277.1961,5213.76,469.24,4744.52,4764.51,2013,2,1,False,False,True,True,True,True,False
5024-1,2013-02-18,2013-02-20,2,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Consumer,Phoebe Gour,High,Multimedia Mailers,Office Supplies,Small Box,Express Air,50,99.39,162.93,7.0,19.99,8146.5,570.2550000000001,7576.245,7596.235,4969.5,2606.745,2586.755,5213.76,469.24,4744.52,4764.51,2013,2,1,False,False,True,True,True,True,False
5024-1,2015-02-18,2015-02-21,3,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Critical,Artisan Binder Labels,Technology,Medium Box,Regular Air,8,2.45,3.89,9.0,7.01,31.12,2.8008,28.319200000000002,35.3292,19.6,8.7192,1.709200000000001,66.36,3.96,62.38,69.36,2015,2,1,False,False,True,True,True,True,False
5025-1,2015-06-08,2015-06-09,1,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,1,1.09,1.68,0.0,1.0,1.68,0.0,1.68,2.6799999999999997,1.09,0.5899999999999999,-0.41000000000000014,55.44,2.22,53.22,54.22,2015,6,2,False,False,True,True,True,True,False
5025-1,2013-02-20,2013-02-22,2,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,34,1.09,1.68,10.0,1.0,57.12,5.712,51.408,52.408,37.06,14.347999999999999,13.347999999999999,55.44,2.22,53.22,54.22,2013,2,1,False,False,True,True,True,True,False
5025-1,2013-02-20,2013-02-22,2,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,18,1.09,1.68,8.0,1.0,30.24,2.4192,27.8208,28.8208,19.62,8.200799999999997,7.200799999999997,55.44,2.22,53.22,54.22,2013,2,1,False,False,True,True,True,True,False
5025-1,2015-07-23,2015-07-30,7,Magdelene Morse,"53 Riley Street,Woolloomooloo",Sydney,NSW,Corporate,Tina Carlton,Not Specified,TechSavi Cordless Elite Duo,Office Supplies,Small Box,Regular Air,14,60.59,100.98,10.0,7.18,1413.72,141.372,1272.348,1279.528,848.26,424.08799999999997,416.90799999999996,4533.86,66.8,4343.52,4371.54,2015,7,3,False,False,True,True,True,True,False
5025-1,2013-02-20,2013-02-22,2,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,High,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,Regular Air,29,1.09,1.68,3.0,1.0,48.72,1.4616,47.2584,48.2584,31.610000000000003,15.648399999999999,14.648399999999999,55.44,2.22,53.22,54.22,2013,2,1,False,False,True,True,True,True,False
5025-1,2013-02-20,2013-02-22,2,Giulietta Dortch,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Express Air,39,1.09,1.68,7.0,1.0,65.52,4.5864,60.9336,61.9336,42.510000000000005,18.423599999999993,17.423599999999993,55.44,2.22,53.22,54.22,2013,2,1,False,False,True,True,True,True,False
5025-1,2013-08-17,2013-08-17,0,Valerie Dominguez,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,High,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,16,8.82,20.99,2.0,4.81,335.84,6.716799999999999,329.1232,333.9332,141.12,188.0032,183.1932,49.36,3.96,48.66,44.56,2013,8,3,False,False,True,True,True,True,False
5025-1,2013-10-03,2013-10-04,1,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,19,4.59,7.28,4.0,11.15,138.32,5.5328,132.78719999999998,143.9372,87.21,45.57719999999999,34.42719999999999,533.72,36.53,428.51,330.99,2013,10,4,False,False,True,True,True,True,False
5025-1,2014-09-12,2014-09-19,7,Gary Hansen,"273 George Street,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Low,UGen Ultra Professional Cordless Optical Suite,Technology,Jumbo Drum,Delivery Truck,4,156.5,300.97,6.0,7.18,1203.88,72.2328,1131.6472,1138.8272000000002,626.0,505.6472000000001,498.4672000000001,4759.68,39.3,4733.52,4740.51,2014,9,3,False,False,True,True,True,True,False
5025-1,2014-07-30,2014-08-01,2,Denny Joy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Not Specified,Smiths General Use 3-Ring Binders,Technology,Small Box,Regular Air,39,1.18,1.88,9.0,1.49,73.32,6.598799999999999,66.7212,68.21119999999999,46.019999999999996,20.7012,19.2112,35.7,3.51,34.53,35.33,2014,7,3,False,False,True,True,True,True,False
5026-1,2013-05-21,2013-05-23,2,Kelly Lampkin,"310 Wattle St,Ultimo",Sydney,NSW,Corporate,Aanya Zhang,Medium,Binder Clips by OIC,Technology,Small Pack,Regular Air,16,0.93,1.48,0.0,0.7,23.68,0.0,23.68,24.38,14.88,8.799999999999999,8.1,25.06,2.56,22.6,24.29,2013,5,2,False,False,True,True,True,False,False
5026-1,2013-05-31,2013-06-02,2,Raymond Fair,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,High,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,41,1.59,2.61,5.0,0.5,107.00999999999999,5.3505,101.6595,102.1595,65.19,36.4695,35.9695,23.29,1.61,22.29,22.69,2013,5,2,False,False,True,True,True,True,False
5027-1,2013-07-29,2013-07-30,1,Nick Zandusky,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Low,Artisan Binder Labels,Technology,Small Box,Regular Air,29,2.45,3.89,4.0,7.01,112.81,4.5124,108.2976,115.30760000000001,71.05000000000001,37.24759999999999,30.237599999999993,542.12,41.26,425.7,430.59,2013,7,3,False,False,True,True,True,True,False
5027-1,2014-01-13,2014-01-18,5,Ashley Jarboe,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,High,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,45,1.59,2.61,6.0,0.5,117.44999999999999,7.046999999999999,110.40299999999999,110.90299999999999,71.55,38.852999999999994,38.352999999999994,127.29,12.72,122.76,123.17,2014,1,1,False,False,True,True,True,True,False
5027-1,2013-10-25,2013-10-27,2,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,Medium,Apex Straight Scissors,Technology,Large Box,Regular Air,10,5.19,12.98,1.0,3.14,129.8,1.298,128.502,131.642,51.900000000000006,76.602,73.462,530.6,43.56,514.48,523.02,2013,10,4,False,False,True,True,True,True,False
5027-1,2013-10-13,2013-10-13,0,Sylvia Foulston,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,High,Emerson Stylus 1520 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,31,75.0,120.97,6.0,26.3,3750.07,225.0042,3525.0658000000003,3551.3658000000005,2325.0,1200.0658000000003,1173.7658000000004,929.96,76.8,825.36,744.63,2013,10,4,False,False,True,True,True,True,False
5027-1,2016-01-19,2016-01-19,0,Tamara Willingham,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,TechSavi Access Keyboard,Office Supplies,Small Pack,Regular Air,4,10.07,15.98,2.0,4.0,63.92,1.2784,62.641600000000004,66.64160000000001,40.28,22.361600000000003,18.361600000000003,799.42,59.92,770.46,784.64,2016,1,1,False,False,True,True,True,True,False
5027-1,2013-07-22,2013-07-26,4,Edward Becker,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Pack,Regular Air,9,156.5,300.97,7.0,7.18,2708.7300000000005,189.61110000000005,2519.1189000000004,2526.2989000000002,1408.5,1110.6189000000004,1103.4389000000003,5799.5,264.99,5579.53,5550.43,2013,7,3,False,False,True,True,True,True,False
5027-1,2013-02-22,2013-02-28,6,Bill Donatelli,"359 Crown Street,Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,Low,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Small Box,Regular Air,11,21.56,35.94,1.0,6.66,395.34,3.9534,391.3866,398.0466,237.16,154.2266,147.5666,723.84,50.67,673.17,693.16,2013,2,1,False,False,True,True,True,True,False
5028-1,2015-06-19,2015-06-21,2,Fredhen Memon,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Technology,Small Box,Regular Air,7,2.98,5.84,1.0,0.83,40.879999999999995,0.40879999999999994,40.471199999999996,41.301199999999994,20.86,19.611199999999997,18.7812,34.46,2.24,30.66,34.43,2015,6,2,False,False,True,True,True,True,False
5028-1,2013-10-09,2013-10-11,2,Frank Merwin,"260 Marrickville Rd,Marrickville",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Artisan 474 Labels,Furniture,Large Box,Regular Air,17,1.84,2.88,0.0,0.99,48.96,0.0,48.96,49.95,31.28,17.68,16.69,26.62,0.17,26.53,26.46,2013,10,4,False,False,True,True,True,True,False
5029-1,2013-02-23,2013-02-23,0,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Home Office,Natasha Song,Medium,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Pack,Regular Air,22,5.33,8.6,7.0,6.19,189.2,13.244,175.956,182.146,117.26,58.695999999999984,52.505999999999986,412.8,0.0,412.8,418.99,2013,2,1,False,False,True,True,True,True,False
5029-1,2014-06-02,2014-06-04,2,Arthur Gainer,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,High,Artisan 479 Labels,Technology,Medium Box,Regular Air,7,1.59,2.61,3.0,0.5,18.27,0.5480999999999999,17.721899999999998,18.221899999999998,11.13,6.591899999999997,6.091899999999997,209.9,0.0,209.9,214.77,2014,6,2,False,False,True,True,True,True,False
5029-1,2013-02-23,2013-02-23,0,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Corporate,Natasha Song,High,Artisan Printable Repositionable Plastic Tabs,Technology,Jumbo Drum,Delivery Truck,13,5.33,8.6,4.0,6.19,111.8,4.472,107.328,113.518,69.29,38.038,31.847999999999995,412.8,0.0,412.8,418.99,2013,2,1,False,False,True,True,True,True,False
5029-1,2015-11-12,2015-11-14,2,Michael Oakman,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Not Specified,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Regular Air,40,54.29,90.48,10.0,19.99,3619.2000000000003,361.9200000000001,3257.28,3277.27,2171.6,1085.6800000000003,1065.6900000000003,4564.22,377.64,4113.59,4193.93,2015,11,4,False,False,True,True,True,True,False
5029-1,2013-05-20,2013-05-22,2,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Low,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,19,5.33,8.6,10.0,6.19,163.4,16.34,147.06,153.25,101.27,45.790000000000006,39.60000000000001,412.8,0.0,412.8,418.99,2013,5,2,False,False,True,True,True,True,False
5032-1,2013-11-18,2013-11-20,2,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Critical,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Small Box,Regular Air,32,16.85,27.18,6.0,8.23,869.76,52.1856,817.5744,825.8044,539.2,278.3743999999999,270.1443999999999,632.36,68.76,663.38,690.33,2013,11,4,False,False,True,True,True,True,False
5032-1,2013-12-16,2013-12-19,3,Henry Goldwyn,"541 Church St,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,22,1.84,2.88,1.0,0.99,63.36,0.6336,62.7264,63.7164,40.480000000000004,22.246399999999994,21.256399999999996,127.92,10.16,122.66,123.06,2013,12,4,False,False,True,True,True,True,False
5033-1,2013-02-25,2013-02-27,2,Katherine Ducich,"61A Bay Road,Wollstonecraft",Sydney,NSW,Small Business,Samantha Chairs,High,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,Regular Air,42,54.29,90.48,5.0,19.99,3800.1600000000003,190.00800000000004,3610.152,3630.142,2280.18,1329.9720000000002,1309.9820000000002,271.44,8.14,263.3,283.29,2013,2,1,False,False,True,True,True,True,False
5034-1,2013-06-05,2013-06-05,0,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,32,1.84,2.88,5.0,0.99,92.16,4.608,87.55199999999999,88.54199999999999,58.88,28.67199999999999,27.68199999999999,201.9,8.0,193.54,199.04,2013,6,2,False,False,True,True,True,True,False
